Player,Team,OPS,BA,OBP,SLG,1B,2B,3B,HR,BB,HBP,AB,PA
Kim Do-yeong,Kia Tigers,1.067,0.347,0.420,0.647,112,29,10,38,66,7,544,625
Koo Ja-wook,Samsung Lions,1.044,0.343,0.417,0.627,96,39,1,33,55,12,493,568
Matthew Davidson,NC Dinos,1.003,0.306,0.370,0.633,82,25,1,46,39,17,504,567
Mel Rojas Jr.,KT Wiz,0.989,0.329,0.421,0.568,116,39,1,32,88,6,572,670
Choi Jeong,SSG Landers,0.978,0.291,0.384,0.594,70,27,2,37,55,20,468,550
Austin Dean,LG Twins,0.957,0.319,0.384,0.573,101,32,3,32,61,3,527,604
Park Kun-woo,NC Dinos,0.951,0.344,0.409,0.542,74,23,1,13,33,4,323,362
Guillermo Heredia,SSG Landers,0.937,0.360,0.399,0.538,142,31,1,21,28,13,541,591
Song Sung-mun,Kiwoom Heroes,0.927,0.340,0.409,0.518,127,29,4,19,64,3,527,602
Ronnie Dawson,Kiwoom Heroes,0.907,0.330,0.399,0.508,82,31,2,11,39,6,382,429
Víctor Reyes,Lotte Giants,0.904,0.352,0.394,0.510,144,40,3,15,46,1,574,632
Kim Jae-hwan,Doosan Bears,0.893,0.283,0.368,0.525,77,28,0,29,63,6,474,552
Son Ho-young,Lotte Giants,0.892,0.317,0.354,0.538,78,26,4,18,17,9,398,430
Na Seung-yeup,Lotte Giants,0.880,0.312,0.411,0.469,81,35,4,7,69,4,407,489
Moon Bo-gyeong,LG Twins,0.879,0.301,0.372,0.507,96,35,3,22,65,2,519,602
Sócrates Brito,Kia Tigers,0.875,0.310,0.359,0.516,112,30,3,26,41,4,552,602
Kwon Hui-dong,NC Dinos,0.869,0.300,0.417,0.452,89,22,1,13,77,10,416,511
Na Sung-bum,Kia Tigers,0.868,0.291,0.357,0.511,70,17,1,21,38,4,374,424
Kang Min-ho,Samsung Lions,0.861,0.303,0.365,0.496,83,19,1,19,35,8,403,452
Choi Hyoung-woo,Kia Tigers,0.860,0.280,0.361,0.499,72,23,2,22,52,5,425,487
Yang Eui-ji,Doosan Bears,0.858,0.314,0.379,0.479,99,18,1,17,40,9,430,485
Hong Chang-ki,LG Twins,0.857,0.336,0.447,0.410,150,18,3,5,96,12,524,637
Jeon Jun-woo,Lotte Giants,0.854,0.293,0.369,0.485,79,26,2,17,49,5,423,483
Park Min-woo,NC Dinos,0.852,0.328,0.406,0.446,114,26,2,8,54,9,457,528
Yonathan Perlaza,Hanwha Eagles,0.850,0.275,0.364,0.486,77,24,0,24,63,2,455,522
Henry Ramos,Doosan Bears,0.842,0.305,0.360,0.482,63,19,3,10,27,3,311,348
Kim Hye-seong,Kiwoom Heroes,0.841,0.326,0.383,0.458,125,26,4,11,47,4,509,567
Kang Baek-ho,KT Wiz,0.840,0.289,0.360,0.480,106,27,0,26,59,3,550,614
Lee Sung-gyu,Samsung Lions,0.839,0.242,0.339,0.500,40,10,1,22,31,15,302,355
Go Seung-min,Lotte Giants,0.834,0.308,0.358,0.476,101,27,6,14,41,1,481,532
Yoon Dong-hee,Lotte Giants,0.829,0.293,0.376,0.453,103,35,4,14,67,7,532,613
Kim Min-hyuck,KT Wiz,0.829,0.353,0.410,0.419,106,14,3,1,35,1,351,393
Kim Sun-bin,Kia Tigers,0.827,0.329,0.380,0.447,107,23,0,9,30,5,423,466
Seo Geon-chang,Kia Tigers,0.820,0.310,0.416,0.404,47,14,1,1,36,3,203,248
Chae Eun-seong,Hanwha Eagles,0.814,0.271,0.351,0.463,74,24,0,20,49,8,436,498
Hwang Seong-bin,Lotte Giants,0.812,0.320,0.375,0.437,90,15,8,4,31,2,366,406
Heo Kyoung-min,Doosan Bears,0.811,0.309,0.384,0.427,94,28,0,7,36,18,417,477
Roh Si-hwan,Hanwha Eagles,0.810,0.272,0.356,0.454,97,20,2,24,60,11,526,601
Park Dong-won,LG Twins,0.810,0.272,0.349,0.461,76,22,0,20,55,0,434,498
Han Jun-su,Kia Tigers,0.807,0.307,0.351,0.456,59,22,0,7,21,2,287,316
Kim Young-woong,Samsung Lions,0.806,0.252,0.321,0.485,68,16,3,28,45,3,456,509
Jang Sung-woo,KT Wiz,0.805,0.268,0.355,0.450,74,19,0,19,60,1,418,489
Oh Tae-gon,SSG Landers,0.804,0.275,0.355,0.449,43,16,0,9,31,1,247,288
Kang Seung-ho,Doosan Bears,0.804,0.280,0.328,0.476,87,34,7,18,32,7,521,566
